"idproduto";"qtd_atual";"qtd_minima"
1;150;30
2;200;50
3;180;40
4;160;35
5;120;25
6;400;80
7;500;100
8;350;70
9;250;50
10;300;60
11;40;50
12;320;60
13;280;55
14;1;30
15;300;60
16;500;100
17;600;120
18;450;90
19;400;80
20;550;110
21;350;70
22;500;100
23;250;50
24;600;120
25;280;55
26;150;30
27;23;25
28;180;35
29;100;20
30;90;20
31;220;45
32;300;60
33;400;80
34;180;35
35;250;50
36;600;120
37;500;100
38;450;90
39;350;70
40;400;80
41;500;100
42;100;20
43;150;30
44;120;25
45;80;15
46;200;40
47;300;60
48;400;80
49;700;140
50;350;70
