"idItem_venda";"preco_unitario";"quantidade";"produto_idproduto";"venda_idvenda"
1;4.59;2;6;1
2;24.99;1;16;1
3;5.99;1;32;1
4;29.9;3;11;2
5;4.9;1;37;2
6;8.99;1;21;3
7;8.5;3;17;3
8;6.5;5;46;3
9;0.8;5;41;4
10;4.5;2;33;4
11;5.99;2;1;5
12;9.5;1;23;5
13;14.9;1;25;5
14;18.9;1;12;5
15;2.8;5;36;6
16;38.9;1;7;7
17;3.49;10;22;7
18;19.9;1;26;7
19;6.2;2;4;8
20;4.2;5;18;8
21;22.9;1;34;9
22;13.5;1;39;9
23;25.9;2;10;9
24;15.0;1;42;9
25;3.2;8;48;10
26;2.5;10;24;10
27;28.5;1;27;11
28;15.9;1;31;11
29;10.9;2;44;11
30;6.99;5;19;12
31;7.89;1;3;13
32;22.5;3;13;14
33;18.9;1;40;14
34;14.0;1;50;14
35;9.99;2;5;15
36;3.5;4;2;16
37;3.75;5;20;16
38;3.9;1;45;16
39;2.99;8;8;17
40;35.9;2;14;18
41;18.9;2;29;18
42;0.5;10;49;19
43;11.9;5;47;20
44;10.9;3;15;21
45;16.5;1;35;22
46;8.9;1;43;22
47;4.59;4;6;23
48;24.99;2;16;23
49;29.9;3;11;23
50;21.5;1;30;23
51;18.9;1;40;24
52;2.5;20;24;25
53;3.5;1;2;25
54;15.9;2;31;26
55;12.99;5;28;27
56;13.5;2;39;27
57;15.0;1;42;28
58;22.9;2;34;29
59;10.9;1;15;29
60;4.59;3;6;30
61;24.99;4;16;30
62;29.9;2;11;30
63;6.2;3;4;31
64;4.2;6;18;31
65;2.8;11;36;32
66;12.5;1;9;33
67;18.9;3;12;33
68;0.8;5;41;34
69;10.9;2;44;35
70;4.9;5;37;36
71;3.75;5;20;37
72;8.9;1;43;38
73;9.99;5;5;38
74;3.75;1;20;39
75;11.9;5;47;40
76;15.9;1;31;41
77;9.5;1;23;41
78;28.5;2;27;42
79;7.99;3;38;42
80;6.2;1;4;43
81;22.9;5;34;44
82;3.9;3;45;45
83;3.49;10;22;46
84;4.9;5;37;46
85;24.99;1;16;47
86;4.5;3;33;48
87;12.99;4;28;48
88;10.9;1;15;49
89;25.9;5;10;50
90;18.9;2;40;50
