"idvenda";"valor_total";"data_venda";"funcionario_idfuncionario";"cliente_idcliente"
1;45.98;"2025-01-05";3;1
2;120.5;"2025-01-05";4;5
3;78.25;"2025-01-06";3;10
4;22.9;"2025-01-07";4;2
5;55.7;"2025-01-08";3;8
6;15.0;"2025-01-09";4;15
7;98.3;"2025-01-10";3;20
8;33.45;"2025-01-11";4;3
9;110.0;"2025-01-12";3;12
10;65.5;"2025-01-15";4;4
11;88.9;"2025-02-01";3;25
12;40.25;"2025-02-02";4;30
13;15.99;"2025-02-03";3;1
14;190.1;"2025-02-04";4;18
15;50.0;"2025-02-05";3;7
16;72.8;"2025-02-08";4;11
17;25.6;"2025-02-10";3;9
18;130.4;"2025-02-14";4;22
19;10.99;"2025-02-20";3;28
20;95.7;"2025-02-28";4;50
21;38.8;"2025-03-05";3;6
22;60.5;"2025-03-10";4;14
23;145.2;"2025-03-15";3;21
24;20.0;"2025-03-20";4;26
25;77.0;"2025-03-25";3;35
26;5.99;"2025-04-01";4;40
27;115.6;"2025-04-05";3;45
28;18.25;"2025-04-10";4;4
29;85.0;"2025-04-15";3;9
30;160.3;"2025-04-20";4;16
31;44.44;"2025-05-01";3;23
32;30.8;"2025-05-05";4;29
33;68.75;"2025-05-10";3;34
34;11.5;"2025-05-15";4;41
35;92.1;"2025-05-20";3;48
36;53.4;"2025-06-01";4;1
37;27.9;"2025-06-05";3;5
38;105.15;"2025-06-10";4;10
39;3.75;"2025-06-15";3;15
40;74.5;"2025-06-20";4;20
41;25.5;"2025-07-01";3;25
42;99.9;"2025-07-05";4;30
43;6.2;"2025-07-10";3;35
44;125.4;"2025-07-15";4;40
45;19.8;"2025-08-01";3;45
46;80.6;"2025-08-05";4;50
47;35.0;"2025-08-10";3;2
48;70.3;"2025-08-15";4;8
49;10.99;"2025-09-01";3;12
50;180.0;"2025-09-05";4;18
